date,actual_return,actual_direction
2021-03-29 00:00:00-04:00,0.0128217336461811,1
2021-03-30 00:00:00-04:00,0.0165227400010303,1
2021-03-31 00:00:00-04:00,0.0016981401078264,1
2021-04-01 00:00:00-04:00,0.0212318875769271,1
2021-04-05 00:00:00-04:00,-0.0052964025155569,-1
2021-04-06 00:00:00-04:00,0.0247952541305792,1
2021-04-07 00:00:00-04:00,0.0065919852725092,1
2021-04-08 00:00:00-04:00,0.02095504582067,1
2021-04-09 00:00:00-04:00,-0.0006035852972787,-1
2021-04-12 00:00:00-04:00,0.0188763768679339,1
2021-04-13 00:00:00-04:00,-0.0083000723833275,-1
2021-04-14 00:00:00-04:00,0.0035869777115596,1
2021-04-15 00:00:00-04:00,-0.0058821565257457,-1
2021-04-16 00:00:00-04:00,0.0113099736438497,1
2021-04-19 00:00:00-04:00,-0.019700656086446,-1
2021-04-20 00:00:00-04:00,0.0051372820208158,1
2021-04-21 00:00:00-04:00,-0.0066142530356535,-1
2021-04-22 00:00:00-04:00,0.0202021517726572,1
2021-04-23 00:00:00-04:00,0.0013351122805492,1
2021-04-26 00:00:00-04:00,-0.005184434979774,-1
2021-04-27 00:00:00-04:00,0.0160821707655861,1
2021-04-28 00:00:00-04:00,-0.0343666437842385,-1
2021-04-29 00:00:00-04:00,0.0019730664395219,1
2021-04-30 00:00:00-04:00,-0.0064373328841248,-1
2021-05-03 00:00:00-04:00,-0.0151689847670185,-1
2021-05-04 00:00:00-04:00,-0.0101393631473154,-1
2021-05-05 00:00:00-04:00,0.0248830698638433,1
2021-05-06 00:00:00-04:00,-0.0110050882163358,-1
2021-05-07 00:00:00-04:00,-0.0456689857360258,-1
2021-05-10 00:00:00-04:00,-0.0008095747633953,-1
2021-05-11 00:00:00-04:00,0.0095622925626147,1
2021-05-12 00:00:00-04:00,0.0134050528107707,1
2021-05-13 00:00:00-04:00,0.0045148551729986,1
2021-05-14 00:00:00-04:00,-0.0020500518952613,-1
2021-05-17 00:00:00-04:00,-0.0268646498340602,-1
2021-05-18 00:00:00-04:00,0.0168073048375028,1
2021-05-19 00:00:00-04:00,0.0206819635120045,1
2021-05-20 00:00:00-04:00,-0.0141606932015867,-1
2021-05-21 00:00:00-04:00,0.0143640832137698,1
2021-05-24 00:00:00-04:00,-0.0067281922543837,-1
2021-05-25 00:00:00-04:00,-0.004095872122812,-1
2021-05-26 00:00:00-04:00,-0.006880705813521,-1
2021-05-27 00:00:00-04:00,-0.0039022983480103,-1
2021-05-28 00:00:00-04:00,-0.0063958611643157,-1
2021-06-01 00:00:00-04:00,0.0032185286999343,1
2021-06-02 00:00:00-04:00,-0.00489252459616,-1
2021-06-03 00:00:00-04:00,0.0169259624723622,1
2021-06-04 00:00:00-04:00,0.0034080669835384,1
2021-06-07 00:00:00-04:00,0.0048182721968044,1
2021-06-08 00:00:00-04:00,-0.0014935745396776,-1
2021-06-09 00:00:00-04:00,-0.0038575692334066,-1
2021-06-10 00:00:00-04:00,0.0101950470673531,1
2021-06-11 00:00:00-04:00,0.0165860634688009,1
2021-06-14 00:00:00-04:00,0.0033092036436648,1
2021-06-15 00:00:00-04:00,-0.0043723488162177,-1
2021-06-16 00:00:00-04:00,0.0070107734867136,1
2021-06-17 00:00:00-04:00,-0.0031365419666621,-1
